N.Hemi Temperature Anomalies (deg C) AIRS v6 vs. 2007-2016
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
2013, -0.042, -0.274, -0.016, -0.296, -0.122, -0.085, -0.194, -0.187, -0.210, -0.129,  0.025,  0.052, -0.123, -0.159, -0.229, -0.145, -0.155, -0.105
2014,  0.086, -0.168, -0.045,  0.171,  0.122,  0.091,  0.130,  0.204,  0.048,  0.074, -0.117,  0.172,  0.064,  0.054, -0.010,  0.082,  0.142,  0.002
2015,  0.174,  0.291,  0.298,  0.049,  0.200,  0.160,  0.198,  0.226,  0.320,  0.336,  0.187,  0.426,  0.239,  0.217,  0.212,  0.182,  0.194,  0.281
2016,  0.545,  0.847,  0.788,  0.486,  0.300,  0.344,  0.271,  0.280,  0.441,  0.082,  0.238,  0.256,  0.406,  0.421,  0.606,  0.524,  0.298,  0.254
2017,  0.423,  0.532,  0.575,  0.175,  0.138,  0.128,  0.158,  0.171,  0.137,  0.032,  0.062,  0.361,  0.241,  0.232,  0.403,  0.296,  0.152,  0.077
2018,  0.137,  0.349,  0.217,  0.000,  0.088,  0.020,  0.066, -0.031,  0.030,  0.281, -0.151,  0.013,  0.085,  0.114,  0.282,  0.102,  0.018,  0.053
2019,  0.132,  0.149,  0.582,  0.269,  0.267,  0.402,  0.355,  0.267,  0.386,  0.389,  0.185,  0.356,  0.312,  0.283,  0.098,  0.373,  0.341,  0.320
2020,  0.401,  0.654,  0.560,  0.442,  0.450,  0.368,  0.351,  0.527,  0.336,  0.371,  0.501,  0.232,  0.433,  0.443,  0.470,  0.484,  0.416,  0.403
2021,  0.311,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******
N.Hemi Temperature Anomalies (deg C) GHCNv4/ERSSTv5 vs. 2007-2016
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
2002,  0.095,  0.255,  0.052, -0.471, -0.326, -0.149, -0.123, -0.266, -0.212, -0.392, -0.210, -0.429, -0.181, -0.162,  0.052, -0.249, -0.179, -0.271
2003,  0.000, -0.334, -0.405, -0.372, -0.126, -0.284, -0.106,  0.046, -0.054,  0.057, -0.335,  0.137, -0.148, -0.195, -0.254, -0.301, -0.115, -0.111
2004, -0.263,  0.025, -0.203, -0.278, -0.322, -0.359, -0.291, -0.267, -0.241, -0.230, -0.009, -0.402, -0.237, -0.192, -0.034, -0.268, -0.306, -0.160
2005,  0.013, -0.178, -0.123, -0.049, -0.063, -0.038, -0.036, -0.122,  0.065,  0.019,  0.065, -0.008, -0.038, -0.071, -0.189, -0.079, -0.065,  0.050
2006, -0.278,  0.062, -0.289, -0.383, -0.081, -0.018, -0.093, -0.128, -0.015,  0.028, -0.045,  0.312, -0.077, -0.104, -0.075, -0.251, -0.080, -0.011
2007,  0.535,  0.004, -0.108,  0.098, -0.116, -0.174, -0.124, -0.089, -0.164, -0.096, -0.171, -0.075, -0.040, -0.008,  0.284, -0.042, -0.129, -0.143
2008, -0.591, -0.305,  0.078, -0.325, -0.239, -0.214, -0.185, -0.219, -0.261, -0.070, -0.025, -0.189, -0.212, -0.203, -0.324, -0.162, -0.206, -0.119
2009, -0.104, -0.194, -0.472, -0.271, -0.180, -0.148, -0.103, -0.096,  0.017, -0.140, -0.150, -0.183, -0.169, -0.169, -0.162, -0.308, -0.116, -0.091
2010, -0.127,  0.042,  0.031,  0.152,  0.095,  0.023,  0.102,  0.049, -0.130, -0.035,  0.214, -0.348,  0.006,  0.019, -0.090,  0.093,  0.058,  0.017
2011, -0.319, -0.332, -0.182, -0.127, -0.184, -0.068, -0.060, -0.110, -0.099, -0.023, -0.333,  0.037, -0.150, -0.182, -0.333, -0.164, -0.079, -0.151
2012, -0.246, -0.305, -0.350,  0.095,  0.133,  0.116,  0.069, -0.062,  0.030, -0.017, -0.018, -0.393, -0.079, -0.043, -0.171, -0.040,  0.041, -0.001
2013, -0.082, -0.103, -0.255, -0.294, -0.060, -0.055, -0.085, -0.077, -0.131, -0.101,  0.142, -0.008, -0.092, -0.125, -0.193, -0.203, -0.072, -0.030
2014,  0.048, -0.174,  0.142,  0.112,  0.065, -0.008, -0.012,  0.094,  0.004,  0.008, -0.181,  0.263,  0.030,  0.007, -0.045,  0.106,  0.025, -0.056
2015,  0.262,  0.305,  0.269,  0.049,  0.208,  0.230,  0.137,  0.201,  0.340,  0.368,  0.393,  0.696,  0.288,  0.252,  0.277,  0.175,  0.189,  0.367
2016,  0.625,  1.062,  0.846,  0.512,  0.279,  0.298,  0.260,  0.308,  0.393,  0.106,  0.128,  0.199,  0.418,  0.460,  0.794,  0.546,  0.289,  0.209
2017,  0.476,  0.641,  0.463,  0.232,  0.085,  0.103,  0.187,  0.203,  0.171,  0.126,  0.239,  0.560,  0.290,  0.260,  0.439,  0.260,  0.164,  0.178
2018,  0.220,  0.356,  0.112,  0.003,  0.177,  0.043,  0.120,  0.056,  0.137,  0.319, -0.014,  0.266,  0.150,  0.174,  0.379,  0.098,  0.073,  0.147
2019,  0.283,  0.242,  0.494,  0.282,  0.153,  0.376,  0.251,  0.276,  0.382,  0.385,  0.216,  0.558,  0.325,  0.300,  0.264,  0.309,  0.301,  0.327
2020,  0.691,  0.832,  0.613,  0.437,  0.443,  0.309,  0.321,  0.316,  0.372,  0.296,  0.631,  0.370,  0.469,  0.485,  0.694,  0.497,  0.315,  0.433
2021,  0.397,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******
